oid,title_origin,title,slug,slug_title,actors,directors,Year
589b025217dc13107c03e4d1,Perhaps Love,Nếu Như Yêu - Perhaps Love,neu nhu yeu perhaps love,neu-nhu-yeu-perhaps-love,"[u'Kim Th\xe0nh V\u0169', u'Ch\xe2u T\u1ea5n', u'Tr\u01b0\u01a1ng H\u1ecdc H\u1eefu']",[u'Peter Chan'],2005
589b02a817dc13107d03e4bc,The Road Home,Đường Về Nhà - The Road Home,duong ve nha the road home,duong-ve-nha-the-road-home,"[u'Ch\u01b0\u01a1ng T\u1eed Di', u'Tr\u1ecbnh H\u1ea1o', u'T\xf4n H\u1ed3ng L\xf4i']",[u'Tr\u01b0\u01a1ng Ngh\u1ec7 M\u01b0u'],2001
589c1d3a17dc13185003e5df,Love Letter,Bức Thư Tình - Love Letter,buc thu tinh love letter,buc-thu-tinh-love-letter,"[u'Miho Nakayama', u'Etsushi toyokawa', u'Bunjaku Han']",[u'Shunji Iwai'],1995
58a1635017dc1354bf59b1c0,A Moment To Remember,Khoảnh Khắc Để Nhớ - A Moment To Remember,khoanh khac de nho a moment to remember,khoanh-khac-de-nho-a-moment-to-remember,"[u'Woo-sung Jung', u'Ye-jin Son']",[u'John H. Lee'],2004
58a1c76617dc1354bf59b363,The Edge of Seventeen,Tuổi Trưởng Thành - The Edge of Seventeen,tuoi truong thanh the edge of seventeen,tuoi-truong-thanh-the-edge-of-seventeen,"[u'Hailee Steinfeld', u'Haley Lu Richardson', u'Blake Jenner']",[u'Kelly Fremon Craig'],2016
589aebd617dc13107d03e483,You Are the Apple of My Eye,Cô Gái Chúng Ta Cùng Theo Đuổi - You Are the Apple of My Eye,co gai chung ta cung theo duoi you are the apple of my eye,co-gai-chung-ta-cung-theo-duoi-you-are-the-apple-of-my-eye,"[u'Tr\u1ea7n Nghi\xean Hy', u'Kha Ch\u1ea5n \u0110\xf4ng', u'H\xe1c Thi\u1ec7u V\u0103n']",[u'C\u1eedu B\xe1 \u0110ao'],2011
589aec3f17dc13107f03e57b,The Notebook,Nhật Ký Tình Yêu - The Notebook,nhat ky tinh yeu the notebook,nhat-ky-tinh-yeu-the-notebook,"[u'Tim Ivey', u'Gena Rowlands', u'Starletta DuPois']",[u'Nick Cassavetes'],2004
589aec5617dc13185003e4b9,The Fault In Our Stars,Lỗi Tại Duyên Số - The Fault In Our Stars,loi tai duyen so the fault in our stars,loi-tai-duyen-so-the-fault-in-our-stars,"[u'Shailene Woodley', u'Ansel Elgort', u'Nat Wolff']",[u'Josh Boone'],2014
589ac7af17dc13107d03e415,The Dreamers,Những Kẻ Mộng Mơ - The Dreamers,nhung ke mong mo the dreamers,nhung-ke-mong-mo-the-dreamers,"[u'Eva Green', u'Michael Pitt', u'Louis Garrel']",[u'Bernardo Bertolucci'],2003
589aca1117dc13107c03e42d,"Lust, Caution","Sắc Giới - Lust, Caution",sac gioi lust caution,sac-gioi-lust-caution,"[u'Tony Chiu Wai Leung', u'Wei Tang', u'Joan Chen']","[u'Eileen Chang', u'James Schamus']",2007
589acc5017dc13185003e422,A Frozen Flower,Song Hoa Điếm - A Frozen Flower,song hoa diem a frozen flower,song-hoa-diem-a-frozen-flower,"[u'Zo In Sung', u'Joo Jin-Mo', u'Song Ji Hyo', u'Shim Ji Ho', u'Lim Ju Hwan', u'Song Joong Ki']",[u'Yu Ha'],2008
589acc6c17dc13107f03e4e2,The Lover ,Người Tình - The Lover ,nguoi tinh the lover,nguoi-tinh-the-lover,"[u'Jane March', u'L\u01b0\u01a1ng Gia Huy', u'Fr\xe9d\xe9rique Meininger']",[u'Jean-Jacques Annaud'],1992
589accac17dc13107f03e4e4,Room in Rome,Mối Tình Rome - Room in Rome,moi tinh rome room in rome,moi-tinh-rome-room-in-rome,"[u'Elena Anaya', u'Natasha Yarovenko', u'Enrico Lo Verso']",[u'Julio Medem'],2010
589accf817dc13185003e42c,Love Exposure,Tình Yêu Tội Lỗi - Love Exposure,tinh yeu toi loi love exposure,tinh-yeu-toi-loi-love-exposure,"[u'Takahiro Nishijima', u'Hikari Mitsushima', u'Sakura And\xf4']",[u'Shion Sono'],2009
589acd3217dc13107f03e4eb,Irreversible,Chuyện Đã Rồi - Irreversible,chuyen da roi irreversible,chuyen-da-roi-irreversible,"[u'Monica Bellucci', u'Vincent Cassel', u'Albert Dupontel']",[u'Gaspar No\xe9'],2002
589acdfa17dc13107d03e443,Guilty Of Romance,Đam Mê Tội Lỗi - Guilty Of Romance,dam me toi loi guilty of romance,dam-me-toi-loi-guilty-of-romance,"[u'Miki Mizuno', u'Makoto Togashi', u'Megumi Kagurazaka']",[u'Shion Sono'],2011
589ace3917dc13185003e432,The Fatal Encounter,Cuồng Nộ Bá Vương - The Fatal Encounter,cuong no ba vuong the fatal encounter,cuong-no-ba-vuong-the-fatal-encounter,"[u'Hyun Bin', u'Jung Jae Young', u'Jo Jung Suk']",[u'Lee Jae Gyu'],2014
589d8dbe17dc13107c03e82d,Lost In Beijing,Lạc Lối Ở Bắc Kinh - Lost In Beijing,lac loi o bac kinh lost in beijing,lac-loi-o-bac-kinh-lost-in-beijing,"[u'Ph\u1ea1m B\u0103ng B\u0103ng', u'L\u01b0\u01a1ng Gia Huy (Tony Leung)', u'\u0110\u1ed3ng \u0110\u1ea1i V\u1ef9']","[u'Li Fang', u'Yu Li']",2008
589d8dd117dc13107f03e90c,Plum Blossom,Thanh Xuân Rực Lửa - Plum Blossom,thanh xuan ruc lua plum blossom,thanh-xuan-ruc-lua-plum-blossom,"[u'Kim Rae-won', u'Jin Hee-kyung', u'Kim Jung Hyun']",[u'Kwak Ji-kyun'],2000
58b39c4817dc136917b56ac5,As Tears Go By,Vượng Giác Tạp Môn - Lệ Tình Lãng Tử - As Tears Go By,vuong giac tap mon le tinh lang tu as tears go by,vuong-giac-tap-mon-le-tinh-lang-tu-as-tears-go-by,"[u'L\u01b0u \u0110\u1ee9c Hoa', u'Tr\u01b0\u01a1ng M\u1ea1n Ng\u1ecdc', u'Tr\u01b0\u01a1ng H\u1ecdc H\u1eefu']",[u'V\u01b0\u01a1ng Gia V\u1ec7'],1988
58b39c8517dc136800b56769,Days of Being Wild,A Phi Chính Truyện - Days of Being Wild,a phi chinh truyen days of being wild,a-phi-chinh-truyen-days-of-being-wild,"[u'Tr\u01b0\u01a1ng Qu\u1ed1c Vinh', u'Tr\u01b0\u01a1ng M\u1ea1n Ng\u1ecdc', u'L\u01b0u Gia Linh', u'L\u01b0u \u0110\u1ee9c Hoa', u'Tr\u01b0\u01a1ng H\u1ecdc H\u1eefu', u'L\u01b0\u01a1ng Tri\u1ec1u V\u1ef9', u'Phan \u0110\u1ecbch Hoa']",[u'V\u01b0\u01a1ng Gia V\u1ec7'],1990
58b39c9a17dc132e58b56c68,Ashes Of Time,Đông Tà Tây Độc - Ashes Of Time,dong ta tay doc ashes of time,dong-ta-tay-doc-ashes-of-time,"[u'Tr\u01b0\u01a1ng Qu\u1ed1c Vinh', u'L\xe2m Thanh H\xe0', u'Tr\u01b0\u01a1ng M\u1ea1n Ng\u1ecdc', u'L\u01b0\u01a1ng Gia Huy']",[u'V\u01b0\u01a1ng Gia V\u1ec7'],1994
58b3c72c17dc136917b56b2f,All You Need Is Love,Cô Dâu Bỏ Trốn - All You Need Is Love,co dau bo tron all you need is love,co-dau-bo-tron-all-you-need-is-love,"[u'Th\u01b0 K\u1ef3', u'Nh\u1eadm Hi\u1ec1n T\u1ec1', u'C\u1eedu Kh\u1ed5ng']",[u'Nh\u1eadm Hi\u1ec1n T\u1ec1'],2015
58b3c77617dc132e58b56cce,My Wife Is A Gangster 3,Vợ Tôi Là Gangster 3 - My Wife Is A Gangster 3,vo toi la gangster 3 my wife is a gangster 3,vo-toi-la-gangster-3-my-wife-is-a-gangster-3,"[u'Beom-su Lee', u'Hyeon-yeong', u'Th\u01b0 K\u1ef3']","[u'Ee-mok Jeong', u'So-yeon Jo']",2006
58b3c7ca17dc136917b56b39,Curse of The Golden Flower,Hoàng Kim Giáp - Curse of The Golden Flower,hoang kim giap curse of the golden flower,hoang-kim-giap-curse-of-the-golden-flower,"[u'C\u1ee7ng l\u1ee3i', u'Ch\xe2u Ki\u1ec7t Lu\xe2n', u'Ch\xe2u Nhu\u1eadn Ph\xe1t']",[u'Tr\u01b0\u01a1ng Ngh\u1ec7 M\u01b0u'],2007
58b3c7f417dc13681fb56853,Memoirs of a Geisha,Hồi Ức Của Một Geisha - Memoirs of a Geisha,hoi uc cua mot geisha memoirs of a geisha,hoi-uc-cua-mot-geisha-memoirs-of-a-geisha,"[u'Ken Watanabe', u'Ch\u01b0\u01a1ng T\u1eed Di', u'D\u01b0\u01a1ng T\u1eed Qu\u1ef3nh']","[u'Robin Swicord', u'Arthur Golden']",2005
58b3c82517dc136800b568cf,"Crouching Tiger, Hidden Dragon","Ngọa Hổ Tàng Long - Crouching Tiger, Hidden Dragon",ngoa ho tang long crouching tiger hidden dragon,ngoa-ho-tang-long-crouching-tiger-hidden-dragon,"[u'D\u01b0\u01a1ng T\u1eed Qu\u1ef3nh', u'Ch\u01b0\u01a1ng T\u1eed Di', u'Ch\xe2u Nhu\u1eadn Ph\xe1t']",[u'L\xfd An'],2001
58b3c87717dc13681fb56857,The Grandmaster,Nhất Đại Tông Sư - The Grandmaster,nhat dai tong su the grandmaster,nhat-dai-tong-su-the-grandmaster,"[u'L\u01b0\u01a1ng Tri\u1ec1u V\u1ef9', u'Ch\u01b0\u01a1ng T\u1eed Di', u'Song Hye Kyo']",[u'V\u01b0\u01a1ng Gia V\u1ec7'],2013
58b3c88617dc136800b568d3,The Banquet,Dạ Yến - The Banquet,da yen the banquet,da-yen-the-banquet,"[u'Ch\u01b0\u01a1ng T\u1eed Di', u'Ng\xf4 Ng\u1ea1n T\u1ed5', u'Ch\xe2u T\u1ea5n']",[u'Ph\xf9ng Ti\u1ec3u C\u01b0\u01a1ng'],2006
58b3c93b17dc13681fb5685f,The Housemaid,Người Hầu Gái - The Housemaid,nguoi hau gai the housemaid,nguoi-hau-gai-the-housemaid,"[u'Do-yeon Jeon', u'Jung-Jae Lee', u'Yeo-jeong Yoon']",[u'Sang-soo Im'],2010
58b3c94d17dc13681fb56861,Secret Sunshine,Bí Mật Ánh Dương - Secret Sunshine,bi mat anh duong secret sunshine,bi-mat-anh-duong-secret-sunshine,"[u'Jeon Do-yeon', u'Kang-ho Song', u'Park Myung-Shin']",[u'Lee Chang-dong'],2007
58b3c95f17dc136800b568db,Norwegian Wood,Rừng Na Uy - Norwegian Wood,rung na uy norwegian wood,rung-na-uy-norwegian-wood,"[u""Ken'ichi Matsuyama"", u'Rinko Kikuchi', u'Kiko Mizuhara']",[u'Tr\u1ea7n Anh H\xf9ng'],2012
58b3c96e17dc136917b56b47,Bad Guys Always Die,Kẻ Xấu Tất Phải Chết - Bad Guys Always Die,ke xau tat phai chet bad guys always die,ke-xau-tat-phai-chet-bad-guys-always-die,"[u'Tr\u1ea7n B\xe1ch L\xe2m', u'Son Ye Jin', u'Shin Hyeon Jun', u'Ki\u1ec1u Ch\u1ea5n V\u0169']",[u'T\xf4n H\u1ea1o'],2015
58b3c98517dc136800b568dd,The Pirates,Hải Tặc - The Pirates,hai tac the pirates,hai-tac-the-pirates,"[u'Nam-gil Kim', u'Ye-jin Son', u'Hae-jin Yoo']",[u'Seong-il Cheon'],2014
58b3c9a617dc136800b568e0,Spellbound,Lời Nguyền Tình Yêu - Spellbound,loi nguyen tinh yeu spellbound,loi-nguyen-tinh-yeu-spellbound,"[u'Ye-jin Son', u'Min-ki Lee', u'Seong-hoon Sin', u'Min-ki Lee', u'Ye-jin Son', u'Seong-hoon Sin']","[u'In-ho Hwang', u'In-ho Hwang']",2011
58b3c9c017dc136917b56b4a,The Tower,Tháp Lửa - The Tower,thap lua the tower,thap-lua-the-tower,"[u'Kim In Kwon', u'Do Ji Han', u'Ye-jin Son']",[u'Kim Ji Hun'],2013
58b3c9d117dc13681fb56866,White Night,Đêm Trắng - White Night,dem trang white night,dem-trang-white-night,"[u'Dong-Soo', u'Eun-Ji Im', u'Kook-Jin Han', u'So-Yeong Son', u'Ji-Hee Hong', u'Cheol-Woo Han', u'Ye-Won Han']",[u'Shin-Woo Park'],2009
58b3c9f417dc13681fb5686b,A Moment To Remember,Khoảnh Khắc Để Nhớ - A Moment To Remember,khoanh khac de nho a moment to remember,khoanh-khac-de-nho-a-moment-to-remember,"[u'Woo-sung Jung', u'Ye-jin Son']",[u'John H. Lee'],2004
58b3ca3417dc136800b568e8,April Snow,Tuyết Tháng Tư - April Snow,tuyet thang tu april snow,tuyet-thang-tu-april-snow,"[u'Yong-jun Bae', u'Ye-jin Son', u'Kook-huan Chun']","[u'Jin-ho Hur', u'Hyo-kwan Kim']",2005
58b3ca5417dc132e58b56cdc,Mona Lisa Smile ,Nụ Cười Nàng Mona Lisa - Mona Lisa Smile ,nu cuoi nang mona lisa mona lisa smile,nu-cuoi-nang-mona-lisa-mona-lisa-smile,"[u'Julia Roberts', u'Kirsten Dunst', u'Julia Stiles']",[u'Mike Newell'],2003
58b3ca6217dc13681fb56871,Erin Brockovich,Nghị Lực Sống - Erin Brockovich,nghi luc song erin brockovich,nghi-luc-song-erin-brockovich,"[u'Julia Roberts', u'Albert Finney', u'David Brisbin']",[u'Susannah Grant'],2000
58b3cae917dc136800b568f4,Malèna,Người Yêu Đầu Đời - Malèna,nguoi yeu dau doi malena,nguoi-yeu-dau-doi-malena,"[u'Monica Bellucci', u'Giuseppe Sulfaro', u'Gaetano Aronica']",[u'Giuseppe Tornatore'],2000
58b3cb0617dc136917b56b56,Irreversible,Chuyện Đã Rồi - Irreversible,chuyen da roi irreversible,chuyen-da-roi-irreversible,"[u'Monica Bellucci', u'Vincent Cassel', u'Albert Dupontel']",[u'Gaspar No\xe9'],2002
58b3cc0517dc13681fb5687c,Closer,Xích Lại Gần Nhau - Closer,xich lai gan nhau closer,xich-lai-gan-nhau-closer,"[u'Natalie Portman', u'Jude Law', u'Clive Owen']",[u'Patrick Marber'],2004
58b3cc1f17dc13681fb56881,Garden State,Khu Vườn Lạc Quan - Garden State,khu vuon lac quan garden state,khu-vuon-lac-quan-garden-state,"[u'Zach Braff', u'Peter Sarsgaard', u'Natalie Portman']",[u'Zach Braff'],2004
58b3cc4317dc13681fb56885,V for Vendetta,Chiến Binh Tự Do - V for Vendetta,chien binh tu do v for vendetta,chien-binh-tu-do-v-for-vendetta,"[u'Hugo Weaving', u'Natalie Portman', u'Rupert Graves']","[u'Andy Wachowski', u'Lana Wachowski']",2006
58b3d9fe17dc132e58b56d0f,If You Are the One,Phi Thành Vật Nhiễu - If You Are the One,phi thanh vat nhieu if you are the one,phi-thanh-vat-nhieu-if-you-are-the-one,"[u'Th\u01b0 K\u1ef3', u'C\xe1t \u01afu', u'T\u1eeb Nh\u01b0\u1ee3c Tuy\xean']",[u'Ph\xf9ng Ti\u1ec3u C\u01b0\u01a1ng'],2008
58b3f05a17dc136917b56ba0,Comrades: Almost a Love Story ,Điềm Mật Mật - Comrades: Almost a Love Story ,diem mat mat comrades almost a love story,diem-mat-mat-comrades-almost-a-love-story,"[u'T\u0103ng Ch\xed V\u0129', u'L\xea Minh', u'Tr\u01b0\u01a1ng M\u1ea1n Ng\u1ecdc']",[u'Tr\u1ea7n Kh\u1ea3 T\xe2n'],1996
58b5355417dc13551ea89cd1,Untold Scandal,Nỗi Ô Nhục Họ Cho - Untold Scandal,noi o nhuc ho cho untold scandal,noi-o-nhuc-ho-cho-untold-scandal,"[u'Lee Mi Sook', u'Do-yeon Jeon', u'Yong-jun Bae']",[u' Je-yong Lee'],2003
58b6400a17dc137321c77f59,My Blueberry Nights,Say Tình - My Blueberry Nights,say tinh my blueberry nights,say-tinh-my-blueberry-nights,"[u'Jude Law', u'Norah Jones', u'Natalie Portman']",[u'V\u01b0\u01a1ng Gia V\u1ec7'],2007
58ba43f117dc133c9cea9659,Let the Bullets Fly,Nhượng Tử Đạn Phi - Let the Bullets Fly,nhuong tu dan phi let the bullets fly,nhuong-tu-dan-phi-let-the-bullets-fly,"[u'Kh\u01b0\u01a1ng V\u0103n', u'Ch\xe2u Nhu\u1eadn Ph\xe1t', u'L\u01b0u Gia Linh']",[u'Kh\u01b0\u01a1ng V\u0103n'],2010
58b3c82517dc136800b568cf,"Crouching Tiger, Hidden Dragon","Ngọa Hổ Tàng Long - Crouching Tiger, Hidden Dragon",ngoa ho tang long crouching tiger hidden dragon,ngoa-ho-tang-long-crouching-tiger-hidden-dragon,"[u'D\u01b0\u01a1ng T\u1eed Qu\u1ef3nh', u'Ch\u01b0\u01a1ng T\u1eed Di', u'Ch\xe2u Nhu\u1eadn Ph\xe1t']",[u'L\xfd An'],2001
58b3c87717dc13681fb56857,The Grandmaster,Nhất Đại Tông Sư - The Grandmaster,nhat dai tong su the grandmaster,nhat-dai-tong-su-the-grandmaster,"[u'L\u01b0\u01a1ng Tri\u1ec1u V\u1ef9', u'Ch\u01b0\u01a1ng T\u1eed Di', u'Song Hye Kyo']",[u'V\u01b0\u01a1ng Gia V\u1ec7'],2013
58b3c88617dc136800b568d3,The Banquet,Dạ Yến - The Banquet,da yen the banquet,da-yen-the-banquet,"[u'Ch\u01b0\u01a1ng T\u1eed Di', u'Ng\xf4 Ng\u1ea1n T\u1ed5', u'Ch\xe2u T\u1ea5n']",[u'Ph\xf9ng Ti\u1ec3u C\u01b0\u01a1ng'],2006
58b3c93b17dc13681fb5685f,The Housemaid,Người Hầu Gái - The Housemaid,nguoi hau gai the housemaid,nguoi-hau-gai-the-housemaid,"[u'Do-yeon Jeon', u'Jung-Jae Lee', u'Yeo-jeong Yoon']",[u'Sang-soo Im'],2010
58b3c95f17dc136800b568db,Norwegian Wood,Rừng Na Uy - Norwegian Wood,rung na uy norwegian wood,rung-na-uy-norwegian-wood,"[u""Ken'ichi Matsuyama"", u'Rinko Kikuchi', u'Kiko Mizuhara']",[u'Tr\u1ea7n Anh H\xf9ng'],2012
58b3c9f417dc13681fb5686b,A Moment To Remember,Khoảnh Khắc Để Nhớ - A Moment To Remember,khoanh khac de nho a moment to remember,khoanh-khac-de-nho-a-moment-to-remember,"[u'Woo-sung Jung', u'Ye-jin Son']",[u'John H. Lee'],2004
58b3ca4317dc136800b568ea,Pretty Woman,Người Đàn Bà Đẹp - Pretty Woman,nguoi dan ba dep pretty woman,nguoi-dan-ba-dep-pretty-woman,"[u'Richard Gere', u'Julia Roberts', u'Jason Alexander']",[u'J.F. Lawton'],1990
58b3cae917dc136800b568f4,Malèna,Người Yêu Đầu Đời - Malèna,nguoi yeu dau doi malena,nguoi-yeu-dau-doi-malena,"[u'Monica Bellucci', u'Giuseppe Sulfaro', u'Gaetano Aronica']",[u'Giuseppe Tornatore'],2000
58b3cb0617dc136917b56b56,Irreversible,Chuyện Đã Rồi - Irreversible,chuyen da roi irreversible,chuyen-da-roi-irreversible,"[u'Monica Bellucci', u'Vincent Cassel', u'Albert Dupontel']",[u'Gaspar No\xe9'],2002
58b3cc4317dc13681fb56885,V for Vendetta,Chiến Binh Tự Do - V for Vendetta,chien binh tu do v for vendetta,chien-binh-tu-do-v-for-vendetta,"[u'Hugo Weaving', u'Natalie Portman', u'Rupert Graves']","[u'Andy Wachowski', u'Lana Wachowski']",2006
58b3d9fe17dc132e58b56d0f,If You Are the One,Phi Thành Vật Nhiễu - If You Are the One,phi thanh vat nhieu if you are the one,phi-thanh-vat-nhieu-if-you-are-the-one,"[u'Th\u01b0 K\u1ef3', u'C\xe1t \u01afu', u'T\u1eeb Nh\u01b0\u1ee3c Tuy\xean']",[u'Ph\xf9ng Ti\u1ec3u C\u01b0\u01a1ng'],2008
58ba43f117dc133c9cea9659,Let the Bullets Fly,Nhượng Tử Đạn Phi - Let the Bullets Fly,nhuong tu dan phi let the bullets fly,nhuong-tu-dan-phi-let-the-bullets-fly,"[u'Kh\u01b0\u01a1ng V\u0103n', u'Ch\xe2u Nhu\u1eadn Ph\xe1t', u'L\u01b0u Gia Linh']",[u'Kh\u01b0\u01a1ng V\u0103n'],2010
58b3c7a517dc132e58b56cd1,The Story of Qiu Ju ,Thu Cúc Đi Kiện - The Story of Qiu Ju ,thu cuc di kien the story of qiu ju,thu-cuc-di-kien-the-story-of-qiu-ju,"[u'Liu Peiqi', u'Liuchun Yang ', u'C\u1ee7ng l\u1ee3i']",[u'Tr\u01b0\u01a1ng Ngh\u1ec7 M\u01b0u'],1992
58b3c7b917dc136917b56b37,Raise the Red Lantern,Đèn Lồng Đỏ Treo Cao - Raise the Red Lantern,den long do treo cao raise the red lantern,den-long-do-treo-cao-raise-the-red-lantern,"[u'Li Gong', u'Jingwu Ma', u'Saifei He']","[u'Su Tong', u'Ni Zhen']",1991
